,precision,recall,f1-score,support
Good,0.9992305001748863,0.9983923953309569,0.9988112719390252,14307.0
Hazardous,0.9145299145299145,0.8359375,0.8734693877551021,384.0
Moderate,0.9882036089415567,0.9954422137818774,0.991809704014056,18430.0
Satisfactory,0.9964757709251101,0.9880194683639086,0.9922296027071061,8013.0
Unhealthy,0.9775347676215381,0.9812671518911824,0.9793974038347029,8381.0
Very_Unhealthy,0.9325153374233128,0.8903765690376569,0.910958904109589,1195.0
accuracy,0.9890751331098403,0.9890751331098403,0.9890751331098403,0.9890751331098403
macro avg,0.9680816499360531,0.9482392164009302,0.9577793790599302,50710.0
weighted avg,0.9889883225015648,0.9890751331098403,0.9889986057178128,50710.0
